param nDays := 28;

set Cars := BMW Mazda Smart Opel Audi;

param inital_money := 40;

param price:
        BMW     Mazda   Smart   Opel    Audi :=
    1	13.33	8.97	11.06	4.82	15.13
    2	12.26	10.78	9.61	5.67	17.24
    3	12.52	10.46	8.97	6.13	15.94
    4	13.86	9.85	11.25	5.68	14.85
    5	12.22	9.85	10.85	6.38	15.47
    6	14.19	9.33	11.57	5.92	14.22
    7	15.93	8.23	8.94	6.51	16.64
    8	13.09	9.04	11.97	5.84	15.44
    9	13.85	8.89	9.93	6.07	15.81
    10	12.21	9.48	9.68	5.83	16.36
    11	14.42	10.67	10.81	5.33	13.23
    12	16.11	9.63	10.70	6.08	15.62
    13	15.85	9.24	12.03	6.18	13.73
    14	15.78	9.30	0.1 	5.00	15.10
    15	13.18	8.10	12.07	4.96	13.27
    16	15.76	8.50	11111	6.47	14.74
    17	15.50	8.80	9.95	6.42	16.22
    18	12.81	9.82	11.80	5.70	17.02
    19	12.32	9.71	11.35	6.24	16.81
    20	15.92	8.49	8.82	4.93	12.88
    21	16.21	8.60	8.81	6.41	15.76
    22	14.56	8.08	11.95	5.27	14.12
    23	12.18	8.07	11.76	4.91	12.92
    24	15.79	9.57	11.44	5.35	16.42
    25	13.28	10.05	10.94	4.85	13.06
    26	15.71	10.69	9.72	6.15	13.18
    27	15.92	9.63	10.64	5.55	14.37
    28	14.21	10.20	8.91	6.22	17.23
;
