species,elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
setosa,161.8,sandy,5.16,3.41,1.64,0.26,17.5956,0.4264,1.5131964809384164,6.3076923076923075,3.1463414634146343,13.115384615384615,3.5200000000000005,3.1500000000000004,5.33,18.33,53.21,4.194710955477147,0.6529931086925803,41.265478424015015
setosa,291.4,clay,5.48,4.05,1.53,0.37,22.194,0.5661,1.3530864197530865,4.135135135135135,3.581699346405229,10.945945945945946,3.95,3.6799999999999997,5.9,20.45,52.53,4.711050838188864,0.7523961722390672,39.205087440381554
setosa,144.3,sandy,5.1,2.8,1.47,0.38,14.279999999999998,0.5586,1.8214285714285714,3.8684210526315788,3.4693877551020407,7.368421052631579,3.63,2.42,5.66,24.62,50.25,3.7788887255382364,0.7473954776421918,25.563909774436087
setosa,114.6,clay,4.64,3.44,1.53,0.17,15.961599999999999,0.2601,1.3488372093023255,9.0,3.0326797385620914,20.235294117647058,3.1099999999999994,3.27,4.51,22.91,50.85,3.995197116538807,0.51,61.367166474432906
setosa,110.9,loamy,4.85,2.87,1.23,0.26,13.9195,0.31980000000000003,1.6898954703832751,4.730769230769231,3.9430894308943087,11.038461538461538,3.6199999999999997,2.6100000000000003,4.03,21.56,40.57,3.7308846136003724,0.5655086206239477,43.52564102564102
setosa,164.4,clay,4.91,3.19,1.86,0.35,15.6629,0.651,1.5391849529780566,5.314285714285715,2.639784946236559,9.114285714285714,3.05,2.84,6.18,18.52,48.14,3.957638184574229,0.8068457101577724,24.059754224270353
setosa,239.9,clay,4.47,3.91,1.42,0.41,17.4777,0.5821999999999999,1.1432225063938617,3.4634146341463414,3.147887323943662,9.536585365853659,3.05,3.5,6.13,22.25,46.59,4.180633923222649,0.7630203142774116,30.020096186877364
setosa,101.5,loamy,5.05,4.13,1.59,0.22,20.8565,0.3498,1.2227602905569006,7.2272727272727275,3.176100628930817,18.772727272727273,3.46,3.9099999999999997,5.09,14.94,46.7,4.56689172194831,0.5914389233048498,59.624070897655805
setosa,227.3,clay,5.2,3.22,1.44,0.21,16.744000000000003,0.3024,1.6149068322981366,6.857142857142857,3.611111111111111,15.333333333333336,3.7600000000000002,3.0100000000000002,4.36,19.24,53.0,4.091943303615045,0.5499090833947008,55.37037037037038
setosa,55.3,sandy,4.68,2.95,1.59,0.15,13.806,0.2385,1.5864406779661016,10.600000000000001,2.943396226415094,19.666666666666668,3.09,2.8000000000000003,5.48,21.75,45.7,3.7156426092938486,0.4883646178829912,57.886792452830186
setosa,154.7,clay,4.85,3.68,1.53,0.36,17.848,0.5508,1.3179347826086956,4.25,3.1699346405228757,10.222222222222223,3.3199999999999994,3.3200000000000003,4.95,22.22,46.98,4.2246893376909975,0.7421590126111789,32.40377632534496
setosa,244.0,clay,4.68,4.09,1.12,0.24,19.141199999999998,0.26880000000000004,1.1442542787286063,4.666666666666667,4.178571428571428,17.041666666666668,3.5599999999999996,3.8499999999999996,4.94,22.01,39.56,4.3750657137921936,0.5184592558726289,71.20982142857142
setosa,134.7,clay,5.35,3.5,1.66,0.2,18.724999999999998,0.332,1.5285714285714285,8.299999999999999,3.2228915662650603,17.5,3.6899999999999995,3.3,5.45,20.88,48.53,4.3272393046837605,0.5761944116355173,56.400602409638545
setosa,190.9,loamy,5.23,3.78,1.38,0.33,19.7694,0.45539999999999997,1.3835978835978837,4.181818181818182,3.7898550724637685,11.454545454545453,3.8500000000000005,3.4499999999999997,5.17,19.41,44.56,4.446279343451106,0.6748333127521196,43.4110671936759
setosa,101.2,clay,5.4,4.1,1.34,0.29,22.14,0.3886,1.3170731707317076,4.620689655172415,4.029850746268656,14.137931034482758,4.0600000000000005,3.8099999999999996,4.41,21.61,50.4,4.705316142407437,0.623377895020348,56.97375193000515
setosa,235.5,clay,4.48,3.31,1.4,0.27,14.828800000000001,0.378,1.353474320241692,5.185185185185184,3.2000000000000006,12.25925925925926,3.0800000000000005,3.04,4.84,17.14,45.24,3.850818094898797,0.6148170459575759,39.229629629629635
setosa,63.1,sandy,5.22,3.32,1.81,0.35,17.330399999999997,0.6335,1.572289156626506,5.171428571428572,2.883977900552486,9.485714285714286,3.4099999999999997,2.9699999999999998,5.33,17.47,50.52,4.162979702088397,0.7959271323431562,27.35659037095501
setosa,263.1,clay,5.01,4.27,1.55,0.28,21.392699999999998,0.43400000000000005,1.1733021077283372,5.535714285714286,3.2322580645161287,15.249999999999996,3.46,3.9899999999999993,5.26,20.19,49.28,4.625224318884436,0.6587867636800242,49.29193548387096
setosa,99.5,clay,4.34,3.96,1.62,0.49,17.1864,0.7938000000000001,1.095959595959596,3.306122448979592,2.6790123456790123,8.081632653061224,2.7199999999999998,3.4699999999999998,5.13,20.52,58.36,4.1456483208299275,0.8909545442950499,21.65079365079365
setosa,268.6,clay,4.95,2.92,1.65,0.28,14.454,0.462,1.6952054794520548,5.892857142857142,3.0000000000000004,10.428571428571427,3.3000000000000003,2.6399999999999997,5.47,14.52,52.49,3.801841658985813,0.6797058187186572,31.285714285714285
setosa,138.1,clay,5.77,3.45,1.45,0.33,19.9065,0.4785,1.6724637681159418,4.393939393939394,3.979310344827586,10.454545454545455,4.319999999999999,3.12,4.82,21.37,40.8,4.461670090896457,0.6917369442208504,41.60188087774295
setosa,230.7,sandy,5.18,2.96,1.26,0.22,15.332799999999999,0.2772,1.75,5.7272727272727275,4.111111111111111,13.454545454545455,3.92,2.7399999999999998,5.09,22.32,43.68,3.915711940375594,0.5264978632435273,55.31313131313131
setosa,129.8,sandy,5.34,3.15,1.33,0.2,16.820999999999998,0.266,1.6952380952380952,6.65,4.015037593984962,15.749999999999998,4.01,2.9499999999999997,3.31,19.77,50.28,4.101341244032249,0.5157518783291051,63.23684210526314
setosa,276.5,loamy,4.75,2.8,1.15,0.31,13.299999999999999,0.3565,1.6964285714285716,3.7096774193548385,4.130434782608696,9.032258064516128,3.6,2.4899999999999998,4.78,27.12,45.35,3.6469165057620936,0.5970762095411272,37.30715287517531
setosa,81.7,clay,5.15,3.58,1.63,0.29,18.437,0.47269999999999995,1.4385474860335197,5.620689655172414,3.159509202453988,12.344827586206897,3.5200000000000005,3.29,5.38,17.95,35.16,4.293832786683711,0.6875318174455637,39.00359636132855
setosa,94.6,loamy,5.16,3.14,1.36,0.27,16.2024,0.3672,1.643312101910828,5.037037037037037,3.7941176470588234,11.62962962962963,3.8,2.87,4.8,18.92,56.75,4.025220490855128,0.6059702963017247,44.124183006535944
setosa,173.3,loamy,5.57,3.4,1.43,0.32,18.938,0.4576,1.6382352941176472,4.46875,3.8951048951048954,10.625,4.140000000000001,3.08,4.77,18.81,53.6,4.351781244502072,0.6764613810115105,41.385489510489506
setosa,70.5,clay,4.58,3.68,1.6,0.3,16.854400000000002,0.48,1.2445652173913042,5.333333333333334,2.8625,12.266666666666667,2.98,3.3800000000000003,4.48,19.77,52.6,4.105411063462464,0.6928203230275509,35.11333333333334
setosa,99.0,sandy,5.16,3.02,1.64,0.43,15.5832,0.7051999999999999,1.7086092715231789,3.8139534883720927,3.1463414634146343,7.023255813953488,3.5200000000000005,2.59,5.5,19.01,46.96,3.9475562060596427,0.8397618710086806,22.097560975609756
setosa,285.9,sandy,5.32,3.12,1.59,0.15,16.5984,0.2385,1.705128205128205,10.600000000000001,3.3459119496855347,20.8,3.7300000000000004,2.97,5.27,15.78,52.14,4.074113400483595,0.4883646178829912,69.59496855345913
setosa,294.1,clay,5.35,3.16,1.66,0.24,16.906,0.3984,1.6930379746835442,6.916666666666667,3.2228915662650603,13.166666666666668,3.6899999999999995,2.92,5.41,18.36,46.48,4.111690649842227,0.63118935352238,42.43473895582329
setosa,144.1,clay,4.91,3.52,1.61,0.48,17.2832,0.7728,1.3948863636363638,3.354166666666667,3.049689440993789,7.333333333333334,3.3,3.04,4.14,19.71,51.02,4.157306820526962,0.8790904390334364,22.36438923395445
