param fireCount := 50;

param: 
        x   y :=
1	21	3
2	56	34
3	97	92
4	52	75
5	61	58
6	95	24
7	77	60
8	54	11
9	26	58
10	16	83
11	85	4
12	35	91
13	96	24
14	79	74
15	1	88
16	58	30
17	66	42
18	36	7
19	72	23
20	48	65
21	92	25
22	35	47
23	58	28
24	87	64
25	0	98
26	26	57
27	65	56
28	30	50
29	75	73
30	19	6
31	81	32
32	94	98
33	80	97
34	97	9
35	90	37
36	52	11
37	41	10
38	66	39
39	5	60
40	82	44
41	40	97
42	53	18
43	74	100
44	82	89
45	18	40
46	71	64
47	61	82
48	32	28
49	85	68
50	54	11
;

param planeCount := 10;

param area := 32;
param minStep := 2;
