param fireCount := 100;

param: 
        x   y :=
1	21	3
2	56	34
3	97	92
4	52	75
5	61	58
6	95	24
7	77	60
8	54	11
9	26	58
10	16	83
11	85	4
12	35	91
13	96	24
14	79	74
15	1	88
16	58	30
17	66	42
18	36	7
19	72	23
20	48	65
21	92	25
22	35	47
23	58	28
24	87	64
25	0	98
26	26	57
27	65	56
28	30	50
29	75	73
30	19	6
31	81	32
32	94	98
33	80	97
34	97	9
35	90	37
36	52	11
37	41	10
38	66	39
39	5	60
40	82	44
41	40	97
42	53	18
43	74	100
44	82	89
45	18	40
46	71	64
47	61	82
48	32	28
49	85	68
50	54	11
51	90	68
52	63	88
53	51	22
54	2	5
55	62	42
56	10	50
57	41	27
58	56	92
59	99	39
60	77	81
61	66	24
62	45	92
63	85	39
64	31	79
65	57	1
66	1	36
67	61	15
68	40	97
69	84	96
70	66	89
71	33	3
72	6	93
73	1	16
74	38	72
75	37	34
76	83	22
77	50	7
78	4	42
79	93	45
80	6	35
81	37	8
82	58	15
83	23	47
84	85	20
85	78	34
86	73	86
87	75	85
88	20	37
89	92	8
90	17	95
91	12	95
92	11	89
93	23	30
94	76	60
95	9	58
96	74	15
97	23	42
98	58	91
99	42	76
100	29	89
;

param planeCount := 20;

param areaOptions := 3;

param:
        areaWidth   areaHeight :=
    1   3           10
    2   5           5
    3   10          3
    ;
